label,instance_id,n_frames,f0,f1
forget,2,53,-0.15,-0.13
question,2,64,-0.15,-0.14
wild,1,72,-0.09,-0.12
same,1,50,-0.14,0.02
hot,1,50,-0.15,-0.01
which,2,57,-0.15,-0.15
juice,2,56,-0.1,-0.08
Norway,1,56,-0.15,0.04
please,1,65,-0.12,0.01
hot,2,53,-0.14,-0.14
stubborn,2,48,-0.14,0.15
crazy,3,53,-0.11,-0.13
Norway,3,56,-0.1,-0.13
danger,2,55,-0.15,-0.13
share,2,54,-0.1,-0.13
crazy,1,57,-0.19,0.04
spend,2,75,-0.12,-0.1
glove,2,76,-0.16,-0.13
stubborn,3,57,-0.13,-0.15
read,3,58,-0.1,-0.09
spend,1,54,-0.1,-0.01
write,1,72,-0.16,0.03
more,3,50,-0.1,-0.15
research,3,61,-0.12,-0.01
buy,1,58,-0.15,0.03
tray,1,62,-0.09,0.14
is_true_,1,74,-0.08,0.02
answer,3,53,-0.15,-0.03
later,1,51,-0.04,0.04
mine,3,46,-0.11,-0.14
paper,2,52,-0.16,-0.09
ready,3,51,-0.15,-0.1
computer_PC_,3,56,-0.07,0.08
how,1,77,-0.15,0.03
surprise,3,55,-0.08,-0.14
drink,2,51,-0.14,-0.15
responsible,2,57,-0.14,-0.14
question,3,51,-0.12,-0.09
later,3,53,-0.04,-0.02
think,2,51,-0.15,-0.14
head,2,51,-0.11,-0.13
make,1,59,-0.1,0.03
how,3,50,-0.09,-0.13
polite,2,56,-0.11,-0.13
temper,2,52,-0.14,0.04
I,2,53,-0.14,-0.14
surprise,2,53,-0.16,-0.15
boy,1,53,-0.16,0.02
no,2,52,-0.13,-0.15
change_mind_,3,53,-0.09,-0.13
flash,light,53,0.09,-0.08
which,3,51,-0.09,-0.13
yes,3,50,-0.1,-0.14
alive,3,53,-0.11,-0.14
all,3,55,-0.11,-0.13
answer,2,56,-0.11,0.01
who,1,55,-0.16,-0.01
deaf,3,56,-0.12,-0.13
hear,1,51,-0.14,-0.02
eat,3,49,-0.1,-0.13
will,2,52,-0.11,-0.14
research,2,55,-0.1,-0.05
draw,1,75,-0.16,0.02
think,3,51,-0.1,-0.14
us,3,55,-0.11,-0.13
right,3,50,-0.1,-0.15
same,3,48,-0.1,0.05
ready,2,53,-0.14,-0.15
draw,2,52,-0.09,-0.02
love,2,57,-0.14,-0.14
pen,2,49,-0.16,-0.14
pen,3,50,-0.1,-0.13
danger,1,84,-0.21,-0.02
lose,2,59,-0.08,-0.05
cost,2,48,-0.15,-0.02
come,2,50,-0.13,-0.13
not,my,69,-0.21,-0.02
man,1,52,-0.1,-0.12
sorry,2,80,-0.12,-0.13
give,3,54,-0.06,-0.08
happy,1,54,-0.21,0.02
drink,1,57,-0.13,-0.01
wrong,1,51,-0.14,-0.01
right,1,51,-0.15,0.01
buy,2,48,-0.04,-0.02
polite,3,65,-0.1,-0.13
exit,3,51,-0.09,0.08
flash,light,57,-0.09,-0.09
maybe,2,52,-0.1,-0.13
computer_PC_,2,55,-0.06,0.1
Norway,2,56,-0.13,-0.13
how,2,64,-0.09,-0.1
think,1,50,-0.13,0.03
why,1,53,-0.13,0.03
God,2,55,-0.11,-0.13
God,3,56,-0.06,-0.08
yes,1,51,-0.15,-0.0
temper,1,55,-0.11,0.27
give,2,54,-0.11,-0.13
stubborn,1,53,-0.11,-0.0
tray,3,60,-0.1,-0.04
love,3,52,-0.05,-0.08
when,2,58,-0.11,-0.13
temper,3,52,-0.11,0.08
science,1,81,-0.16,0.04
building,3,66,-0.11,-0.11
sorry,1,71,-0.1,-0.11
is_true_,2,52,-0.05,-0.02
